Batch,Semester,Course Code,Course Title,Credit,Credit Hour,Section,Faculty Initial,Facuty Name
,,,,,3,A2,MMH,Md Mehedi Hasan
,,,Total,20,28.5,10,,
,,,,,,,,
31st,9th,CSE 2367,Computer Architecture,3,3,A,MOH,Prof Mohammad Mobarak Hossain
,,,,,3,B,IAZ,Imam Abu Zubaer
,,CSE 4131,Mobile Application and Development,1.5,3,A1,SAK,Shad Al Kaiser
,,,,,3,A2,MDS,Md. Delwar Shahadat Deepu
,,,,,3,B1,SAK,Shad Al Kaiser
,,,,,3,B2,SAK,Shad Al Kaiser
,,CSE 4251,Machine Learning,3,3,A,MMH,Md Mehedi Hasan
,,,,,3,B,MAK,Md. Akram Hossain
,,CSE 4252,Machine Learning Lab,1.5,3,A1,MMH,Md Mehedi Hasan
,,,,,3,A2,MDS,Md. Delwar Shahadat Deepu
,,,,,3,B1,MAK,Md. Akram Hossain
,,,,,3,B2,MAK,Md. Akram Hossain
,,CSE 4115,Python Programming Language,3,3,A,TA,Tahsin Alam
,,,,,3,B,ARD,Abdur Rab Dhruba
,,CSE 4116,Python Programming Language Lab,1.5,3,A1,TA,Tahsin Alam
,,,,,3,A2,TA,Tahsin Alam
,,,,,3,B1,ARD,Abdur Rab Dhruba
,,,,,3,B2,ARD,Abdur Rab Dhruba
,,ICT 4106,Project III,1,1.5,A,TA,Tahsin Alam
,,,,,1.5,B,ARD,Abdur Rab Dhruba
,,ECO 3201,Engineering Economics,2,1.5,A,DKR,Dr. Md. Khalilur Rahman
,,,,,1.5,B,AFJ,Afrin Jahan
,,CHM 2101,Chemistry,3,3,A,DMR,Dr. Mohammad Mostafizur Rahman
,,,,,3,B,DMR,Dr. Mohammad Mostafizur Rahman
,,,Total,19.5,66,24,,
,,,,,,,,
30th,10th,ICT 4308,Project/Thesis (Final),4,4,A,FI,Faisal Imran
,,CSE 4145,Digital Image Processing,3,3,A,FA,Faria Afrin Niha
,,CSE 4233,Robotics,3,3,A,MN,Md. Naim
,,CSE 4131,Mobile Application and Development,1.5,3,A1,JFJ,Jannatul Ferdos Jui
,,,,,3,A2,JFJ,Jannatul Ferdos Jui
,,CSE 4251,Machine Learning,3,3,A,MAK,Md. Akram Hossain
,,CSE 4252,Machine Learning Lab,1.5,3,A1,MAK,Md. Akram Hossain
,,,,,3,A2,MAK,Md. Akram Hossain
,,,Total,16,25,8,,
,,,,,,,,
,,,,,,,,
,,,CSIT Extra,,,,,
Batch,Semester,Course Code,Course Title,Credit,Credit Hour,Section,Faculty,
31st,9th,MIS 3301,Management Information System,2,1.5,B,ARD,Abdur Rab Dhruba
,,,,,,,,
,,,Community Class,,,,,
Batch,Semester,Course Code,Course Title,Credit,Credit Hour,Section,Faculty,
All,All,CP Com,Competitive Programming Community,Non Credit,3,All,SDO,Sakhor Das Opi
All,All,IoT Com,Robotics and IoT Community,Non Credit,3,All,MN,Md. Naim
All,All,ML Com,Machine Learning Community,Non Credit,3,All,MMH,Md Mehedi Hasan
All,All,Soft Com,Software Community,Non Credit,3,All,ANM,Ahamad Nokib Mozumder
All,All,Cyber Com,Networking and Cyber Community,Non Credit,3,All,FHM,Md. Fazle Hasan Mihad
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Non-Department,,,,,
Batch,Semester,Course Code,Course Title,Credit,Credit Hour,Section,Faculty,
N/A,1st,CSE 1101,Computer Application in Business,3,3,A,EJ,Easrat Jahan
N/A,1st,CSE 1101,Computer Application in Business,3,3,B,SDS,Samirah Dilshad Salsabil
N/A,2nd,CSE 1101,Computer Application in Business,3,3,A,EJ,Easrat Jahan
N/A,2nd,CSE 1101,Computer Application in Business,3,3,B,FA,Faria Afrin Niha
N/A,1st,CSE 1101,Basic Computing,3,3,A,SDS,Samirah Dilshad Salsabil
N/A,9th,CSE 1101,Basic Computing,1.5,1.5,A,EKH,Ekhfa Hossain
N/A,5th,CSE 1101,Basic Computing Lab,1.5,1.5,A,SAK,Shad Al Kaiser
N/A,1st,CSE 1101,Basic Computing,1.5,1.5,A,SDS,Samirah Dilshad Salsabil
